Country,LOCATION,Year,"Passenger car registrations sa, Index","Permits issued for dwellings sa, Index","Production in total manufacturing sa, Index","Production of electricity, gas, steam and air conditioning supply sa, index","Production of total construction sa, Index","Production of total energy sa, Index","Production of total industry sa, Index","Production of total manufactured intermediate goods sa, Index","Production of total manufactured investment goods sa, Index","Total retail trade (Volume) sa, Index","Work started for dwellings sa, Index"
Poland,POL,2015,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0
Poland,POL,2016,118.0826,112.0447,104.1163,92.69106,85.46545,,102.825,103.6003,103.95,105.8333,103.2832
Poland,POL,2017,137.3978,132.5153,111.749,96.44971,97.17477,,109.6167,111.6176,112.6917,112.0417,122.3197
Poland,POL,2018,150.9333,136.1452,118.1318,106.6422,116.3514,,116.075,118.7432,119.1667,119.3917,131.7714
Poland,POL,2019,157.6612,142.1884,123.0897,112.0593,120.56,,120.9083,123.2103,125.6833,124.8583,140.9007
Poland,POL,2020,121.5514,146.251,121.9565,109.0424,116.368,,119.3917,125.0688,114.25,128.8583,132.9204
Portugal,PRT,2000,144.4435,1418.225,130.5929,,305.8171,,132.9431,102.7834,252.2826,100.3911,
Portugal,PRT,2001,142.9724,1328.608,133.6727,,320.31,,137.1201,105.8929,264.2661,106.5061,
Portugal,PRT,2002,126.6601,1113.0,142.3927,,316.9431,,135.6537,120.2153,272.4196,108.2879,
Portugal,PRT,2003,106.3243,949.1667,139.7144,,289.7158,,134.2463,122.4382,243.2229,107.5183,
Portugal,PRT,2004,110.7236,897.3417,135.6388,,277.1481,,128.6687,120.2153,225.1749,110.9481,
Portugal,PRT,2005,115.6776,858.6417,127.0141,,270.4392,,124.1769,111.1585,199.9566,113.5738,
Portugal,PRT,2006,109.0749,835.325,125.8929,,253.1711,,123.4745,112.4075,188.4066,117.6432,
Portugal,PRT,2007,113.0603,764.975,123.397,,244.4287,,121.3841,115.0819,173.6872,120.2173,
Portugal,PRT,2008,119.5436,534.0417,115.4813,,233.1694,,114.7922,110.7646,156.2783,123.0015,
Portugal,PRT,2009,90.20184,317.075,100.1356,,208.8841,,102.6777,99.25472,111.3853,116.0505,
Portugal,PRT,2010,125.1878,291.0917,100.0775,,184.9154,,103.659,102.2942,108.1202,116.2757,
Portugal,PRT,2011,85.93917,204.4167,98.58415,,160.6634,,102.1715,103.14,105.181,109.4329,
Portugal,PRT,2012,53.3935,133.65,95.94526,,135.3779,,96.20998,99.24188,99.05634,103.5164,
Portugal,PRT,2013,59.3385,86.84167,95.86283,,113.9428,,96.59642,95.63895,94.97371,101.2316,
Portugal,PRT,2014,80.01322,81.18333,97.63126,,102.8252,,98.04237,96.69566,98.66746,99.7752,
Portugal,PRT,2015,100.0,100.0167,100.0,,100.0,,100.0,100.0,100.0,100.0,
Portugal,PRT,2016,116.1426,136.5,99.97166,,95.07459,,102.41,100.3967,99.77,102.7459,
Portugal,PRT,2017,124.4427,172.575,103.5125,,96.67472,,106.0291,103.0642,103.305,108.096,
Portugal,PRT,2018,127.7032,243.475,103.1775,,100.3667,,106.1624,101.3142,109.4209,113.4086,
Portugal,PRT,2019,125.3738,281.2417,102.32,,103.2419,,103.8625,100.4567,112.2643,116.1719,
Portugal,PRT,2020,81.46474,291.125,93.40833,,100.0417,,96.24336,93.735,96.92664,111.1202,
Russia,RUS,2000,,,50.66588,,,,57.85735,,,35.09317,
Russia,RUS,2001,,,51.66286,,,,59.56057,,,39.47058,
Russia,RUS,2002,,,52.24407,,,,61.45173,,,43.1127,
Russia,RUS,2003,,,57.9678,,,,67.30394,,,46.67867,
Russia,RUS,2004,,,63.86523,,,,72.69424,,,52.32848,
Russia,RUS,2005,,,68.91994,,,,76.50894,,,59.58494,
Russia,RUS,2006,,,74.72088,,,,81.38333,,,67.93206,
Russia,RUS,2007,,,82.58624,,,,87.01667,,,78.86218,
Russia,RUS,2008,,,83.16947,,,,87.58334,,,89.76965,
Russia,RUS,2009,,,70.58823,,,,78.20834,,,85.24818,
Russia,RUS,2010,,,78.11198,,,,83.80833,,,90.79661,
Russia,RUS,2011,,,84.48592,,,,88.05833,,,97.21509,
Russia,RUS,2012,,,88.82686,,,,91.09167,,,103.3947,
Russia,RUS,2013,,,91.46809,,,,92.68333,,,107.4685,
Russia,RUS,2014,,,94.34261,,,,94.98333,,,111.0541,
Russia,RUS,2015,,,100.0,,,,100.0,,,100.0,
Russia,RUS,2016,,,100.9248,,,,101.8667,,,95.179,
Russia,RUS,2017,,,106.5239,,,,105.6833,,,96.38425,
Russia,RUS,2018,,,110.04,,,,109.4167,,,99.12994,
Russia,RUS,2019,,,113.9393,,,,113.1083,,,100.9949,
Russia,RUS,2020,,,115.4891,,,,110.7583,,,97.78919,
Slovak Republic,SVK,2000,,,32.79167,107.95,69.99667,,41.00342,51.58737,19.13503,70.19912,
Slovak Republic,SVK,2001,,,34.11666,112.1,70.5799,,42.45354,55.13707,18.35555,74.2731,
Slovak Republic,SVK,2002,,,37.3,111.4583,73.46275,,45.42045,57.49521,18.79976,78.73032,
Slovak Republic,SVK,2003,76.76157,,45.325,110.6333,77.8037,,52.47104,68.84426,28.33794,75.8477,
Slovak Republic,SVK,2004,73.79092,,46.91667,114.4167,82.21963,,54.38787,71.16074,29.218,80.96309,
Slovak Republic,SVK,2005,73.39903,,46.275,118.9333,94.24263,,53.92116,69.19424,28.10326,88.87778,
Slovak Republic,SVK,2006,75.91612,,56.05,115.625,108.3569,,62.39687,75.01041,37.34808,95.85937,
Slovak Republic,SVK,2007,76.70761,,67.9,110.2917,114.6476,,72.89774,79.18507,55.07502,102.3744,
Slovak Republic,SVK,2008,89.99332,,78.56667,111.7833,128.3536,,83.08192,83.70135,63.19672,111.3805,
Slovak Republic,SVK,2009,96.00272,,65.66666,111.5167,113.8227,,72.15601,73.54387,45.98944,100.1833,
Slovak Republic,SVK,2010,82.27502,,75.89167,111.3417,100.0,,80.87341,83.75969,59.67647,97.98384,
Slovak Republic,SVK,2011,87.69852,,81.36667,113.0083,106.6572,,85.74881,84.93459,70.87419,95.67608,
Slovak Republic,SVK,2012,89.00139,,86.60833,97.16666,93.36777,,88.19902,87.19273,81.54388,94.72632,
Slovak Republic,SVK,2013,84.80238,,88.38333,95.975,88.41859,,89.49079,90.39246,83.22018,94.88461,
Slovak Republic,SVK,2014,92.83548,,91.81667,93.71667,84.74421,,92.18268,96.50029,86.82424,98.29209,
Slovak Republic,SVK,2015,100.0,,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,
Slovak Republic,SVK,2016,113.2819,,103.3833,103.4167,89.26012,,103.2336,105.3079,103.537,102.1411,
Slovak Republic,SVK,2017,123.3181,,106.8,110.6,91.95134,,106.7589,110.4075,106.898,108.2479,
Slovak Republic,SVK,2018,126.0215,,113.7833,103.2,99.75838,,111.7426,110.7241,122.8061,112.1886,
Slovak Republic,SVK,2019,130.6753,,113.725,109.35,96.22563,,112.4844,106.0578,129.4108,110.6723,
Slovak Republic,SVK,2020,98.05083,,101.8917,116.2167,85.28579,,103.442,99.35005,111.9604,109.481,
Slovenia,SVN,2000,91.83075,144.3428,77.78333,84.3987,141.9632,,78.28986,70.15833,71.57737,65.3945,
Slovenia,SVN,2001,87.17218,134.817,79.975,92.28269,130.8891,,80.56505,71.48333,76.97692,71.98061,
Slovenia,SVN,2002,84.8429,129.2013,81.53333,97.29144,140.6716,,82.50687,73.63333,81.04324,74.08817,
Slovenia,SVN,2003,99.41349,145.3411,82.88333,93.90783,153.9788,,83.66531,74.24167,84.72627,76.60971,
Slovenia,SVN,2004,102.7147,151.4143,86.5,112.1593,157.9285,,87.75732,78.01667,94.69211,79.53019,
Slovenia,SVN,2005,99.96648,169.5923,89.93333,110.4342,162.4281,,90.80756,80.43333,103.2081,85.86791,
Slovenia,SVN,2006,99.58106,189.2263,95.49167,109.3924,187.3594,,95.958,87.25,108.3993,88.14107,
Slovenia,SVN,2007,113.0373,185.1913,103.625,97.24144,220.59,,102.8586,93.13333,122.4148,93.54544,
Slovenia,SVN,2008,117.7629,170.0915,106.3167,99.25827,253.8872,,105.4505,101.9917,111.3241,104.9112,
Slovenia,SVN,2009,94.58735,143.9684,86.45834,92.7244,198.3251,,87.13226,81.2,89.59254,93.80136,
Slovenia,SVN,2010,99.83243,116.5141,93.04166,94.40787,165.8112,,93.36611,92.46667,94.17548,93.74114,
Slovenia,SVN,2011,98.75995,107.5291,94.04166,99.09992,120.6233,,94.58288,92.19167,96.60862,95.74965,
Slovenia,SVN,2012,82.65605,97.37936,91.86667,109.4925,100.1833,,93.52446,87.60833,95.84201,93.49946,
Slovenia,SVN,2013,86.73649,104.8669,90.44167,113.7428,93.41721,,92.64105,87.53333,89.85085,92.29935,
Slovenia,SVN,2014,89.59364,96.13145,94.3,97.56647,108.1493,,94.68289,92.15,93.35056,95.55796,
Slovenia,SVN,2015,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,
Slovenia,SVN,2016,107.6833,105.6988,107.65,96.61639,87.96767,,106.6255,106.95,115.907,106.6839,
Slovenia,SVN,2017,120.3603,110.1913,116.4917,99.69997,105.7662,,114.8512,114.6083,132.1723,115.8013,
Slovenia,SVN,2018,124.1391,115.5158,123.1,99.40829,126.9644,,120.6934,119.575,147.0711,125.1271,
Slovenia,SVN,2019,121.3322,104.7005,127.4667,98.57488,131.2224,,124.4687,119.925,156.8453,128.2357,
Slovenia,SVN,2020,88.02681,105.3245,121.1333,89.6158,130.2975,,117.9432,111.3667,142.8548,118.7849,
South Africa,ZAF,2000,55.22734,51.54502,85.96404,,52.45152,,,,,51.14706,
South Africa,ZAF,2001,59.40487,54.27587,87.65401,,57.18221,,,,,52.54374,
South Africa,ZAF,2002,56.68259,64.53195,91.45854,,56.77545,,,,,54.11736,
South Africa,ZAF,2003,59.65103,75.06728,89.36897,,62.49215,,,,,56.77655,
South Africa,ZAF,2004,72.80626,106.6178,93.07359,,79.18513,,,,,63.16217,
South Africa,ZAF,2005,99.95656,138.4504,95.7709,,99.45513,,,,,68.34553,
South Africa,ZAF,2006,115.6603,142.2267,100.1998,,118.9328,,,,,76.48847,
South Africa,ZAF,2007,109.47,144.5945,104.4539,,139.4841,,,,,81.48175,
South Africa,ZAF,2008,86.34521,106.3403,104.0709,,140.1869,,,,,81.41423,
South Africa,ZAF,2009,63.9806,69.86311,89.69364,,133.4254,,,,,78.98047,
South Africa,ZAF,2010,79.81465,70.09066,93.84782,,101.7178,,,,,83.37257,
South Africa,ZAF,2011,92.65855,71.86459,96.48685,,94.43786,,,,,88.48029,
South Africa,ZAF,2012,101.1367,77.02727,98.61805,,94.03883,,,,,92.35827,
South Africa,ZAF,2013,105.1187,83.58691,99.90842,,101.8789,,,,,94.81059,
South Africa,ZAF,2014,104.3078,94.91857,100.0166,,96.47404,,,,,96.62284,
South Africa,ZAF,2015,100.0,100.0,100.0,,100.0,,,,,100.0,
South Africa,ZAF,2016,88.64755,102.041,100.7076,,101.988,,,,,102.1703,
South Africa,ZAF,2017,90.29105,101.9811,100.0333,,115.4644,,,,,105.7092,
South Africa,ZAF,2018,89.415,104.5884,100.999,,110.4162,,,,,108.0506,
South Africa,ZAF,2019,86.88097,90.18616,99.88345,,129.6674,,,,,109.6305,
South Africa,ZAF,2020,61.55517,62.29514,87.44588,,68.8168,,,,,102.4901,
Spain,ESP,2000,133.5538,1219.248,127.7242,93.77059,148.955,,123.9645,139.8694,135.6095,111.0917,873.3275
Spain,ESP,2001,137.8388,1092.067,125.2334,96.88551,153.3683,,122.3866,136.4401,130.6826,115.0333,860.8107
Spain,ESP,2002,128.7793,1118.265,125.6804,97.72475,154.3676,,122.2909,138.428,124.2786,119.4167,886.7614
Spain,ESP,2003,133.6363,1306.074,127.5858,100.5318,165.4176,,123.7901,141.0203,124.9777,122.95,1024.116
Spain,ESP,2004,146.7065,1507.174,129.1718,107.5446,169.273,,125.7312,143.4964,127.3002,125.875,1121.645
Spain,ESP,2005,147.8273,1673.877,128.7248,111.8907,185.0945,,127.1059,143.4034,127.1875,127.5333,1184.122
Spain,ESP,2006,158.0504,2038.089,133.93,112.6088,193.6131,,132.0063,149.1576,137.8757,129.675,1257.135
Spain,ESP,2007,156.1386,1756.504,136.1818,114.8749,183.6622,,134.476,149.9799,148.4793,133.1083,1021.738
Spain,ESP,2008,112.2742,742.8298,125.5539,116.1245,153.0519,,124.1999,133.165,135.3559,125.3917,541.7413
Spain,ESP,2009,92.12363,361.6449,104.181,107.3117,129.4196,,104.6763,105.2462,105.4415,118.6083,181.8265
Spain,ESP,2010,94.95113,253.7539,104.8412,110.4359,104.0969,,105.562,108.0604,101.9253,116.1,142.2529
Spain,ESP,2011,78.13054,210.4575,103.1619,106.3799,87.89241,,104.0326,105.0975,102.0177,108.9833,118.5624
Spain,ESP,2012,67.64333,159.42,95.3735,106.4516,81.58048,,97.22192,95.74825,90.83018,100.2583,78.26683
Spain,ESP,2013,69.87688,86.55112,94.04308,102.2663,83.08768,,95.64458,93.22233,91.93226,95.03333,66.74991
Spain,ESP,2014,82.69982,93.28389,96.17883,99.84892,97.785,,96.84067,96.15891,93.24942,95.98333,72.97978
Spain,ESP,2015,100.0,100.0,100.0,100.0,100.0,,100.0001,100.0,100.0,100.0083,101.5739
Spain,ESP,2016,110.9105,158.5618,102.2992,97.75609,104.8297,,101.8914,101.8599,103.5885,103.875,134.0792
Spain,ESP,2017,119.4056,174.8438,105.5076,99.52116,103.8471,,105.0664,106.7745,107.4155,104.75,172.1869
Spain,ESP,2018,127.5139,234.6304,107.074,97.60275,105.8873,,105.4723,108.5841,110.3452,105.5083,
Spain,ESP,2019,121.6639,236.372,107.9277,96.24126,103.7805,,106.0731,,,107.8917,
Spain,ESP,2020,82.30426,137.0219,97.07175,90.95117,90.41552,,96.0415,,,100.8333,
Sweden,SWE,2000,97.98775,33.49166,104.4917,101.175,61.38334,,101.1666,107.45,103.4256,57.275,34.93873
Sweden,SWE,2001,80.19794,35.75,103.5,99.65833,64.63333,,100.1417,105.375,100.3667,58.825,40.29284
Sweden,SWE,2002,81.20835,33.33333,104.5417,90.5,65.3,,100.15,104.9583,102.7755,61.56667,39.56594
Sweden,SWE,2003,84.84384,45.28333,107.2083,83.65,68.00833,,101.6332,104.8667,107.8013,64.16666,45.79855
Sweden,SWE,2004,86.07584,54.83333,112.4417,93.31667,70.78333,,107.3744,108.7417,116.7361,67.39167,56.73728
Sweden,SWE,2005,86.14297,64.375,114.9167,97.14167,71.025,,110.0325,108.45,124.0123,71.76667,66.01662
Sweden,SWE,2006,86.70745,89.35833,120.4333,88.4,78.65,,113.4239,110.75,132.6721,77.35833,94.00623
Sweden,SWE,2007,93.53635,58.775,124.4667,91.35833,87.04166,,117.3402,115.3667,145.3409,81.8,57.20872
Sweden,SWE,2008,76.35246,50.18333,120.3333,92.80833,85.43333,,114.2405,111.6583,141.3152,83.06667,44.027
Sweden,SWE,2009,63.14114,44.21667,97.0,84.43333,83.90833,,94.15049,90.26667,101.7503,84.01667,37.27518
Sweden,SWE,2010,85.30166,56.91667,105.8917,91.6,87.40833,,103.0747,100.2667,115.2442,86.975,57.17342
Sweden,SWE,2011,90.25148,57.78333,108.7583,92.49167,94.13333,,105.6829,104.3833,114.7358,87.88333,55.41848
Sweden,SWE,2012,83.25735,50.53333,103.8583,102.0417,92.76667,,103.3747,99.7,106.226,89.96667,44.26376
Sweden,SWE,2013,80.72732,63.48333,99.25833,94.15833,89.90833,,98.42513,95.98333,99.39156,92.19167,63.28556
Sweden,SWE,2014,89.5298,75.975,96.94167,95.24167,91.39167,,96.8086,96.275,94.27405,95.25,76.2513
Sweden,SWE,2015,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0
Sweden,SWE,2016,107.2063,123.85,102.7417,95.35,103.5917,,102.0748,103.9083,105.0258,103.0083,127.4766
Sweden,SWE,2017,108.5088,135.0583,106.95,100.475,114.2333,,106.4495,107.825,113.4856,104.9083,132.9512
Sweden,SWE,2018,100.9955,113.7417,110.05,99.925,121.525,,108.8909,107.2833,120.0617,106.575,110.4507
Sweden,SWE,2019,101.3895,100.9833,112.4167,103.8667,122.3417,,111.4574,104.3417,120.3367,109.2083,102.7767
Sweden,SWE,2020,83.77154,120.9,107.0833,100.25,121.7,,106.6078,102.35,107.9597,111.6833,116.2035
Switzerland,CHE,2000,96.12983,,81.7733,,86.25,92.78207,83.10361,,,77.95139,
Switzerland,CHE,2001,96.15978,,80.82278,,84.425,96.7845,82.49359,,,79.2327,
Switzerland,CHE,2002,89.57367,,76.61055,,85.275,92.86549,78.28822,,,78.73156,
Switzerland,CHE,2003,82.44437,,76.81805,,84.975,94.69234,78.60392,,,78.60655,
Switzerland,CHE,2004,81.76118,,80.2,,88.425,94.28931,81.75,,,79.53996,
Switzerland,CHE,2005,79.68442,,80.975,,91.175,89.03112,81.95,,,81.1651,
Switzerland,CHE,2006,82.45568,,87.425,,93.225,90.91927,87.975,,,83.35695,
Switzerland,CHE,2007,86.80363,,96.5,,94.5,89.26756,96.025,,,86.99892,
Switzerland,CHE,2008,88.02603,,96.025,,95.8,94.97708,95.8,,,89.76582,
Switzerland,CHE,2009,81.45612,,88.675,,95.85,94.81924,89.35,,,90.3242,
Switzerland,CHE,2010,90.6628,,95.075,,97.425,100.2506,95.625,,,92.8494,
Switzerland,CHE,2011,100.2482,,97.7,95.27539,100.2,95.27563,97.35,,,93.87449,
Switzerland,CHE,2012,102.1098,,98.375,103.1831,99.575,103.1872,98.875,,,97.24144,
Switzerland,CHE,2013,94.80686,,99.275,106.0162,100.925,106.0184,100.05,,,99.06659,
Switzerland,CHE,2014,92.33179,,101.45,101.5499,103.425,101.5535,101.45,,,100.0167,
Switzerland,CHE,2015,100.0,,100.0,100.0,100.0,100.0,100.0,,,100.0,
Switzerland,CHE,2016,97.61205,,100.6,97.5502,99.375,97.5517,100.25,,,98.83324,
Switzerland,CHE,2017,96.14205,,106.825,96.25864,101.575,96.2724,105.675,,,100.4417,
Switzerland,CHE,2018,91.97415,,113.275,100.6333,101.8,100.6257,111.875,,,101.2834,
Switzerland,CHE,2019,95.06057,,118.225,105.7745,100.7,105.801,116.75,,,102.2835,
Switzerland,CHE,2020,72.44753,,114.3,102.5331,100.45,102.5464,112.975,,,103.6336,
Türkiye,TUR,2000,46.83463,65.87476,42.31667,48.575,7.590252,48.50478,43.82968,,,,
Türkiye,TUR,2001,15.67944,64.2094,38.30833,47.575,6.062138,47.58773,40.005,,,,
Türkiye,TUR,2002,9.35406,34.65006,42.49166,50.18333,7.145405,50.19116,43.77969,,,,
Türkiye,TUR,2003,23.61297,39.62738,46.45,54.425,8.146727,54.41988,47.59604,,,,
Türkiye,TUR,2004,57.98713,61.18421,51.25834,58.09167,9.902619,58.10867,52.25398,,,,
Türkiye,TUR,2005,54.54302,92.98621,59.13334,62.375,11.33048,62.3699,59.60337,58.575,49.86665,,
Türkiye,TUR,2006,53.14929,93.20269,63.38334,67.80833,14.22124,67.79694,63.96967,64.01667,53.95066,,
Türkiye,TUR,2007,47.38676,85.85432,67.64167,73.81667,15.72787,73.82269,68.45263,68.025,61.24354,,
Türkiye,TUR,2008,47.34656,75.91374,66.64167,76.35833,14.99346,76.3484,68.06933,65.78333,62.18536,,
Türkiye,TUR,2009,47.96301,74.05627,59.08333,74.69167,12.60846,74.69564,61.34489,59.575,44.85748,,
Türkiye,TUR,2010,65.07639,112.2507,67.575,80.9,14.7189,80.90069,69.37755,69.61667,56.43441,71.83568,
Türkiye,TUR,2011,80.71563,81.76451,78.43333,88.0,18.38077,87.99875,80.035,81.16666,70.7868,79.99333,
Türkiye,TUR,2012,75.83758,85.40355,81.94167,91.93333,19.88329,91.93333,83.5097,85.15833,72.32872,84.86793,
Türkiye,TUR,2013,87.77808,95.82677,88.08334,92.13333,22.73,92.13963,88.98425,91.96667,79.87164,90.24248,
Türkiye,TUR,2014,78.51782,109.8844,93.84167,96.4,23.82112,96.39301,94.23381,96.25,88.56476,93.85051,
Türkiye,TUR,2015,100.0,100.0,100.0,100.0,25.0,100.0,100.0,100.0,100.0,100.0,
Türkiye,TUR,2016,99.9866,105.9361,103.425,105.5667,26.27237,105.5544,103.3997,101.9083,105.6593,102.2581,
Türkiye,TUR,2017,99.43715,130.787,112.7167,114.3917,28.73479,114.3886,112.7739,111.4917,118.9115,107.9577,
Türkiye,TUR,2018,70.51863,78.98204,113.8667,115.7417,28.19815,115.7436,113.9988,111.225,118.5864,109.9742,
Türkiye,TUR,2019,51.80917,42.70131,113.025,115.8333,25.77261,115.8352,113.3072,107.2083,118.6114,109.4492,
Türkiye,TUR,2020,80.62182,77.36073,115.8167,116.1083,24.36518,116.0943,115.7904,111.95,119.3699,113.0322,
United Kingdom,GBR,2000,84.36178,104.875,82.37948,91.85339,,,99.43403,112.7107,94.52664,71.31355,95.84682
United Kingdom,GBR,2001,93.36496,107.525,83.90977,125.8555,,,102.3523,110.3249,91.69588,76.06966,98.92799
United Kingdom,GBR,2002,97.3468,107.45,86.57231,111.5077,,,103.4489,107.5075,85.23048,80.69469,101.5237
United Kingdom,GBR,2003,97.9323,115.15,89.04025,127.5143,,,106.2522,107.0597,85.25613,82.37993,108.7985
United Kingdom,GBR,2004,97.48495,126.55,90.87129,107.8513,,,105.6774,108.5254,88.02702,86.86452,119.2017
United Kingdom,GBR,2005,92.64151,125.95,92.49889,86.46864,,,104.6604,108.0124,87.82178,87.5948,117.4488
United Kingdom,GBR,2006,89.03973,124.425,98.2751,96.71704,,,108.2066,110.9763,91.55905,89.37366,114.7586
United Kingdom,GBR,2007,91.28552,130.175,98.52277,90.98489,,,106.5706,111.9779,93.59446,91.66745,123.8538
United Kingdom,GBR,2008,80.94903,78.75,99.29235,84.09762,,,105.138,107.4831,90.71239,91.62064,71.339
United Kingdom,GBR,2009,75.75458,63.475,90.42017,85.07903,,,97.9572,90.8558,80.62943,91.94832,58.07039
United Kingdom,GBR,2010,77.11577,77.325,91.78239,80.24145,92.05708,,96.68376,95.48897,89.63483,91.84533,74.09655
United Kingdom,GBR,2011,73.71372,76.9,90.67669,72.95467,92.99596,,91.46622,96.12409,95.67262,90.93718,76.05178
United Kingdom,GBR,2012,77.63837,69.65,92.74657,77.08876,86.25481,,91.49275,96.14038,97.06662,91.61127,67.98814
United Kingdom,GBR,2013,85.99713,83.3,96.27599,84.88796,87.64436,,93.50018,95.4564,98.05012,92.96883,84.20307
United Kingdom,GBR,2014,94.03577,94.35,99.27466,79.65086,96.32898,,95.30421,100.2361,100.9921,96.50782,94.41747
United Kingdom,GBR,2015,100.0,100.0,100.0088,100.0,100.0,,100.0,100.0,100.0,100.0,100.0
United Kingdom,GBR,2016,102.2511,104.8,99.38081,101.5633,104.1029,,100.5041,97.72005,102.617,104.4659,104.5779
United Kingdom,GBR,2017,96.47291,109.825,100.6015,94.39812,110.4403,,100.336,99.73129,108.1587,106.5443,110.9088
United Kingdom,GBR,2018,89.88586,110.275,104.9093,91.39309,110.4028,,103.6788,99.63358,110.1599,109.1564,113.5922
United Kingdom,GBR,2019,87.75916,105.85,106.1477,104.2209,112.6749,,106.1019,,,112.3397,102.771
United Kingdom,GBR,2020,61.93515,,106.2716,113.6616,96.35715,,107.4372,,,113.0699,88.91586
United States,USA,2000,116.5928,,96.53459,,74.41433,,91.68756,107.5566,,86.76505,142.1152
United States,USA,2001,110.9376,,93.04539,,77.8895,,88.89376,100.4687,,86.61457,144.6293
United States,USA,2002,106.8266,,93.48402,,78.59679,,89.19296,101.6453,,87.10782,154.4825
United States,USA,2003,100.3589,,94.74491,,82.64038,,90.34648,101.4374,,88.83401,167.4445
United States,USA,2004,99.38815,,97.7028,,91.89715,,92.76117,104.7902,,92.1015,176.0933
United States,USA,2005,101.7547,,101.7109,,102.3516,,95.87004,106.7795,,94.6338,187.2413
United States,USA,2006,103.0941,,104.3245,,108.1995,,98.0588,108.5648,,96.24565,163.9669
United States,USA,2007,100.4486,,107.2266,,106.8212,,100.5704,111.9401,,96.59966,121.2044
United States,USA,2008,89.91524,,102.0928,,98.9615,,97.08659,105.0743,,91.79885,81.29469
United States,USA,2009,71.74866,,88.055,,83.72523,,86.05129,89.22404,,84.74963,50.0414
United States,USA,2010,74.85797,,93.28888,,74.58156,,90.8214,97.06804,,88.22936,52.83402
United States,USA,2011,80.93386,,96.01237,,73.04768,,93.67844,98.92415,,92.02048,55.27287
United States,USA,2012,96.2452,,98.49901,,79.4383,,96.53757,99.38068,,94.76064,70.79413
United States,USA,2013,100.7685,,99.39318,,83.42368,,98.47889,101.1865,,97.34994,83.84644
United States,USA,2014,102.3846,,100.536,,89.04472,,101.4357,101.7889,,99.45892,90.38013
United States,USA,2015,100.0,,100.0,,100.0,,100.0,100.0,,100.0,100.0
United States,USA,2016,91.43076,,99.22009,,107.9446,,97.83552,99.60834,,101.242,106.338
United States,USA,2017,80.88225,,99.77304,,112.6971,,99.12695,101.4656,,103.1171,109.2811
United States,USA,2018,70.53585,,101.0565,,119.3465,,102.2496,104.9339,,104.7422,112.6233
United States,USA,2019,62.69141,,99.06448,,124.5256,,101.5351,,,105.7173,116.6579
United States,USA,2020,45.18626,,92.55041,,134.2413,,94.23824,,,107.8239,126.1799
